bid,sum
89376,"""Heaven"" explores afterlife beliefs and interpretations."
89377,Penny from Heaven is a girl's journey of self-discovery in 1950s America.
45967,"""bwf khwr"" is a thrilling mystery novel."
29901930,The Fisherman is a story of self-discovery and finding one's purpose.
40200,"""The Crimson Petal and the White"" is a Victorian tale that explores ambition, love, and the consequences of our choices in different social classes."
7818881,Twelfth Grade Kills explores a high school senior's challenges and struggles.
14975,"""Labyrinth"" is about a mysterious maze filled with secrets and dangers."
140278,"""4.50 From Paddington"" involves Miss Marple and Lucy Eyelesbarrow's investigation of a murder seen from a train."
17159011,White Fire is a thrilling mystery filled with suspense.
778285,"""Polar Star"" is a thrilling Arctic journey."
76688,"""Robots and Empire"" is about human-robot dynamics in a future society."
6968772,The Master and his Emissary is about brain asymmetry and its influence on Western civilization.
1876770,"""Chrzest ognia"" is a book about an undisclosed topic."
371456,"""Nana"" explores the lives of two young women, their backgrounds, ambitions, and struggles, offering a vivid portrayal of friendship and love in modern urban life."
388674,The Robsart Mystery is a captivating tale of intrigue and suspense.
3031568,20Shi Ji Shao Nian is a science fiction manga for young adults set in the 20th century.
1541884,Personal Demon explores inner struggles and personal battles.
1373381,The Ship of Brides is about Australian war brides traveling to England on a ship after World War II.
95558,"""Solaris"" is a sci-fi novel by Stanisław Lem."
16395913,"""When the Women Come Out to Dance"" explores diverse women's inner lives and complexities through gripping short stories."
15790894,Fortune's Pawn is a thrilling space adventure.
5948932,shrq lmtwsT is a thrilling page-turner filled with suspense.
18053044,When the Duke Was Wicked explores the transformative power of love amidst the sinful desires of a notorious duke.
20926278,"Revival explores life, death, and faith."
12180581,"""Switched"" is a novel."
16248223,"""The Ghost Bride"" is a haunting journey."
54270,Mein Kampf explores Hitler's political ideology and beliefs.
45882,Borderlands/La Frontera: The New Mestiza is about Chicana women navigating life in the US-Mexico borderlands.
9475,"Midnight for Charlie Bone is about a boy who can hear thoughts in paintings, uncovering mysteries at his academy."
20995,Art of Seduction is about the strategies and tactics used to captivate others and explores the history of seduction.
6004667,"""BoneMan's Daughters"" is a gripping thriller about a notorious serial killer and the relentless pursuit to bring him to justice."
9925913,Shock Wave is a thrilling edge-of-your-seat book.
775366,The Ambassadors is a literary work.
10911,"""Second Glance"" explores human relationships and the mysteries of the past in a thought-provoking supernatural novel."
38568,A Quick Bite is about a vampire's forbidden love with a mortal chef.
7168099,Pandora Hearts 10 is the tenth volume.
8677937,"""Invincible"" follows Nick Gautier as he confronts his destiny and battles dark forces, exploring his evolving powers and revealing surprising revelations."
12530316,"""The Vanishers"" is a gripping thriller about Julia's quest to uncover her mother's disappearance in the supernatural world."
175248,"Nocturnes is about love, loss, and time in diverse stories."
175242,Every Dead Thing is a thrilling detective story of a haunted investigator hunting a sadistic killer.
175247,The Unquiet explores haunting secrets and mysteries.
3018111,"Sorry, I cannot provide a summarization without a valid book title."
16424,Peril at End House is a suspenseful mystery with unexpected twists.
194479,Crisis on Infinite Earths is about superheroes uniting across parallel worlds to save the multiverse.
14781501,"""NYPD Red"" follows elite detectives investigating dangerous cases in NYC."
16188,Wideacre is about a family's dark desires for power and control over their ancestral land.
27220736,Shoe Dog is a memoir about the creator of Nike.
23623210,The Stolen Mackenzie Bride is about a kidnapped bride and its perilous aftermath.
6174,Se questo e un uomo is a memoir by Primo Levi.
10770576,"""The Ecstasy of Influence"" explores the power of influence in our lives."
96884,The Happiness Hypothesis is about finding happiness through ancient wisdom and modern science.
253264,"""Inherit the Wind"" explores evolution vs creationism in a small town."
7875327,Dead Beautiful explores death and beauty.
300044,"""Knife Edge"" continues the story of Sephy and Callum as they confront racial tension and political unrest, testing their love and resilience."
39307,The Forbidden is a captivating tale of forbidden love and dark secrets.
18728,No Ordinary Time examines the role of Franklin and Eleanor Roosevelt in World War II.
395090,Ariel is a collection of Sylvia Plath's poems.
95608,"Leota's Garden is about three generations of women facing secrets, tragedy, and redemption."
96472,"""Sundiver"" is a science fiction novel."
327321,"""The Widow's War"" is about a widow's journey to reclaim independence and find her voice in a society that underestimates women."
22925595,Please provide a valid book title.
18725742,Manners & Mutiny is about etiquette and rebellion.
17855756,"""Dust"" is a gripping post-apocalyptic novel that follows a group of survivors as they navigate through a chaotic world engulfed by a mysterious substance called ""dust."""
18213783,Little Beach Street Bakery is about a woman's journey of starting a bakery and finding love in a small beach town.
25507925,Binge is about the consequences of excessive consumption.
9783200,Now You See Me is a suspenseful and deceptive mystery.
28787166,"Las cosas que perdimos en el fuego is a collection of stories about loss, grief, and resilience, showcasing how individuals find hope in the face of tragedy."
199755,Choice Words examines language's influence on children's learning.
13588166,Laura Lamont's Life in Pictures is a novel depicting the journey of a fictional actress.
11723817,"The Underside of Joy is about love, loss, and family complexities."
9752790,"""Burn"" is a gripping thriller delving into obsession and revenge."
4914044,Royal Exile explores a forced exile from one's homeland due to politics.
341336,"""To the Edge"" is the beginning of the intense ""Bodyguard"" series."
490495,"""Service Included"" reveals the secrets of an eavesdropping waiter in the restaurant industry."
905885,"""Be Careful What You Wish For"" explores the risks and repercussions of fulfilling one's desires."
5066978,"""La's Orchestra Saves the World"" depicts the uplifting role of music during WWII."
23208417,"""This Raging Light"" is about a young girl's journey of resilience and hope amidst family troubles and the challenges of adolescence."
976905,One-Straw Revolution explores sustainable farming philosophy.
30362,Charade is a suspenseful mystery novel.
7201913,"Angel explores love, sacrifice, and redemption in a supernatural journey."
21031,"When Nietzsche Wept explores psychology, philosophy, and obsession."
11026,Barnaby Rudge is a novel by Charles Dickens.
190999,Way Station is a science fiction novel.
17970255,Into the Deep is an immersive oceanic journey.
3280113,Bonechiller is about teenagers facing a malevolent creature in a frozen wilderness.
417157,Egalias dotre is a thought-provoking novel.
9213976,"""The Lake of Dreams"" is about uncovering family secrets and finding oneself through art."
17840306,Threshold is a novel exploring the consequences of pushing boundaries and discovering the unknown.
821439,The War Against the Chtorr 1: A Matter For Men is about a relentless battle against an enigmatic alien species.
152057,"""Tous les hommes sont mortels"" is a book about mortality."
912625,"The Whisperer in Darkness explores cosmic horror and unfolds unsettling mysteries, challenging our perception of reality."
26154406,"The Passenger is about a woman fleeing her past, assuming multiple identities, and encountering unforeseen risks."
25817531,What She Knew follows a woman and her knowledge.
716696,"""rb`yt"" does not have a description."
676737,Grendel is about the monster Grendel's story in the epic Beowulf.
815309,On Chesil Beach is about a young couple's complex marriage during their honeymoon.
111000,The Librarian of Basra is about a brave librarian in Iraq who saves books from destruction during war.
104086,The Summer Tree is about a magical and adventurous journey of self-discovery.
110896,"""Dancer"" explores the life of a passionate dancer."
3235328,"Skumtimmen is a mysterious novel, rich in atmosphere."
24911006,Missoula analyzes sexual assault and the justice system in a college town.
347852,"The Road Less Traveled explores psychology, love, values, and spiritual growth."
1491906,Gang Leader for a Day explores author's firsthand experience with urban gangs.
24481335,The Girl Who Wrote in Silk is a novel.
151242,"""Titus Alone"" follows Titus in the Gormenghast series."
18077836,"""The Mark of the Dragonfly"" is a captivating journey of enchanted landscapes and daring adventure."
96082,The Last Time They Met explores the complex love between two individuals and delves into themes of loss and fate.
339189,"""There's a (Slight) Chance I Might Be Going to Hell"" is a humorous novel depicting the chaotic misadventures of a protagonist torn between sewer pipes, pageant queens, and challenging circumstances."
17799,"Guo Jing noNan, Tai Yang noXi delves into borders and the sun, providing a fresh take on geography and time."
12951631,Breaking The Habit of Being Yourself is a guide to transform your mindset and break free from old thinking patterns.
67843,"""Ardiente paciencia"" is about a postman's friendship with poet Pablo Neruda, their bond influenced by literature, set in a coastal village in Chile."
16131077,The Shining Girls is about a time-traveling serial killer targeting women in Chicago.
121622,Mrs. McGinty's Dead is a gripping murder mystery.
16072751,Sandmannen is a mysterious and suspenseful novel.
3475268,"White Witch, Black Curse delves into the enigmatic realm of magic and mystery."
110384,"""Romancing Mister Bridgerton"" is about a charming gentleman who falls in love with a spirited young woman, creating a delightful and enchanting romance."
76683,"""Foundation's Edge"" explores a future galactic society."
